Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,CabinLetter,Title,Age
0,3,male,1,0,7.25,S,NoCabin,Mr.,22.0
1,1,female,1,0,71.2833,C,C,Mrs.,38.0
1,3,female,0,0,7.925,S,NoCabin,Miss.,26.0
1,1,female,1,0,53.1,S,C,Mrs.,35.0
0,3,male,0,0,8.05,S,NoCabin,Mr.,35.0
0,1,male,0,0,51.8625,S,E,Mr.,54.0
0,3,male,3,1,21.075,S,NoCabin,Master.,2.0
1,3,female,0,2,11.1333,S,NoCabin,Mrs.,27.0
1,2,female,1,0,30.0708,C,NoCabin,Mrs.,14.0
1,3,female,1,1,16.7,S,G,Miss.,4.0
1,1,female,0,0,26.55,S,C,Miss.,58.0
0,3,male,0,0,8.05,S,NoCabin,Mr.,20.0
0,3,male,1,5,31.275,S,NoCabin,Mr.,39.0
0,3,female,0,0,7.8542,S,NoCabin,Miss.,14.0
1,2,female,0,0,16.0,S,NoCabin,Mrs.,55.0
0,3,male,4,1,29.125,Q,NoCabin,Master.,2.0
0,3,female,1,0,18.0,S,NoCabin,Mrs.,31.0
0,2,male,0,0,26.0,S,NoCabin,Mr.,35.0
1,2,male,0,0,13.0,S,D,Mr.,34.0
1,3,female,0,0,8.0292,Q,NoCabin,Miss.,15.0
1,1,male,0,0,35.5,S,A,Mr.,28.0
0,3,female,3,1,21.075,S,NoCabin,Miss.,8.0
1,3,female,1,5,31.3875,S,NoCabin,Mrs.,38.0
0,1,male,3,2,263.0,S,C,Mr.,19.0
0,1,male,0,0,27.7208,C,NoCabin,Misc.,40.0
0,2,male,0,0,10.5,S,NoCabin,Mr.,66.0
0,1,male,1,0,82.1708,C,NoCabin,Mr.,28.0
0,1,male,1,0,52.0,S,NoCabin,Mr.,42.0
0,3,male,0,0,8.05,S,NoCabin,Mr.,21.0
0,3,female,2,0,18.0,S,NoCabin,Miss.,18.0
1,3,female,1,0,11.2417,C,NoCabin,Miss.,14.0
0,3,female,1,0,9.475,S,NoCabin,Mrs.,40.0
0,2,female,1,0,21.0,S,NoCabin,Mrs.,27.0
1,2,female,1,2,41.5792,C,NoCabin,Miss.,3.0
1,3,female,0,0,7.8792,Q,NoCabin,Miss.,19.0
0,3,female,1,0,17.8,S,NoCabin,Mrs.,18.0
0,3,male,4,1,39.6875,S,NoCabin,Master.,7.0
0,3,male,0,0,7.8,S,NoCabin,Mr.,21.0
1,1,female,1,0,76.7292,C,D,Mrs.,49.0
1,2,female,1,0,26.0,S,NoCabin,Mrs.,29.0
0,1,male,0,1,61.9792,C,B,Mr.,65.0
1,2,female,0,0,10.5,S,NoCabin,Miss.,21.0
0,3,male,0,0,7.2292,C,NoCabin,Mr.,28.5
1,2,female,1,2,27.75,S,NoCabin,Miss.,5.0
0,3,male,5,2,46.9,S,NoCabin,Master.,11.0
0,3,male,0,0,7.2292,C,NoCabin,Mr.,22.0
