iter	Passed	Remaining
0	14	14038
1	20	10347
2	35	11680
3	48	12015
4	60	11988
5	73	12207
6	87	12376
7	102	12736
8	116	12839
9	130	12897
10	144	12974
11	157	12998
12	170	12923
13	185	13048
14	197	12988
15	201	12365
16	211	12215
17	222	12140
18	233	12046
19	243	11916
20	253	11800
21	263	11728
22	274	11656
23	283	11532
24	293	11441
25	303	11355
26	312	11275
27	323	11220
28	329	11038
29	339	10976
30	349	10914
31	358	10851
32	362	10617
33	372	10592
34	381	10520
35	392	10523
36	403	10505
37	414	10482
38	417	10280
39	421	10105
40	431	10090
41	442	10088
42	452	10078
43	462	10048
44	468	9932
45	478	9915
46	487	9878
47	497	9859
48	501	9730
49	511	9711
50	520	9688
51	530	9680
52	541	9670
53	552	9680
54	563	9677
55	568	9587
56	578	9567
57	587	9546
58	597	9531
59	607	9524
60	618	9513
61	626	9478
62	635	9457
63	643	9404
64	652	9381
65	661	9362
66	671	9344
67	681	9334
68	692	9337
69	703	9349
70	712	9321
71	722	9308
72	731	9288
73	740	9271
74	750	9259
75	760	9244
76	771	9245
77	780	9225
78	790	9220
79	799	9190
80	810	9195
81	820	9188
82	831	9190
83	842	9182
84	852	9171
85	861	9154
86	870	9138
87	880	9125
88	893	9141
89	902	9128
90	914	9132
91	924	9123
92	933	9103
93	943	9092
94	959	9141
95	970	9135
96	983	9152
97	992	9137
98	1003	9135
99	1014	9133
100	1026	9135
101	1036	9128
102	1047	9125
103	1058	9121
104	1069	9120
105	1080	9114
106	1090	9097
107	1099	9079
108	1109	9072
109	1119	9056
110	1128	9040
111	1140	9041
112	1149	9021
113	1159	9012
114	1170	9010
115	1181	9006
116	1191	8989
117	1201	8977
118	1211	8966
119	1218	8934
120	1228	8922
121	1238	8913
122	1247	8891
123	1255	8871
124	1264	8848
125	1268	8800
126	1277	8783
127	1286	8766
128	1294	8742
129	1303	8720
130	1312	8706
131	1322	8694
132	1333	8694
133	1344	8690
134	1354	8678
135	1364	8666
136	1373	8651
137	1381	8632
138	1391	8618
139	1400	8604
140	1411	8601
141	1422	8592
142	1431	8578
143	1436	8541
144	1447	8533
145	1450	8482
146	1460	8474
147	1471	8471
148	1481	8460
149	1489	8442
150	1499	8428
151	1508	8418
152	1516	8394
153	1525	8380
154	1534	8364
155	1542	8347
156	1553	8339
157	1562	8327
158	1572	8315
159	1580	8297
160	1590	8286
161	1598	8270
162	1606	8248
163	1617	8246
164	1629	8244
165	1639	8239
166	1649	8226
167	1661	8229
168	1671	8219
169	1680	8205
170	1691	8200
171	1701	8193
172	1713	8189
173	1719	8164
174	1728	8149
175	1737	8135
176	1747	8127
177	1757	8115
178	1767	8106
179	1776	8094
180	1787	8088
181	1799	8086
182	1807	8071
183	1817	8062
184	1828	8054
185	1838	8046
186	1848	8035
187	1858	8025
188	1867	8013
189	1876	8001
190	1885	7985
191	1893	7967
192	1901	7952
193	1911	7939
194	1920	7928
195	1931	7922
196	1940	7911
197	1946	7886
198	1956	7875
199	1966	7866
200	1976	7857
201	1984	7841
202	1991	7818
203	2001	7810
204	2011	7802
205	2021	7793
206	2030	7779
207	2035	7752
208	2045	7743
209	2057	7741
210	2068	7733
211	2078	7725
212	2088	7715
213	2097	7702
214	2106	7692
215	2115	7677
216	2122	7659
217	2132	7648
218	2141	7635
219	2150	7623
220	2159	7611
221	2167	7597
222	2171	7566
223	2181	7557
224	2192	7552
225	2202	7543
226	2208	7518
227	2215	7502
228	2220	7476
229	2230	7467
230	2240	7458
231	2249	7447
232	2259	7436
233	2268	7425
234	2277	7413
235	2286	7403
236	2295	7390
237	2305	7382
238	2316	7376
239	2327	7371
240	2337	7361
241	2346	7349
242	2351	7326
243	2362	7319
244	2371	7307
245	2380	7297
246	2388	7281
247	2397	7269
248	2408	7263
249	2413	7239
250	2424	7233
251	2434	7225
252	2445	7219
253	2454	7210
254	2460	7189
255	2471	7181
256	2477	7163
257	2487	7152
258	2497	7145
259	2504	7128
260	2513	7117
261	2523	7108
262	2532	7096
263	2541	7086
264	2552	7080
265	2561	7068
266	2572	7061
267	2581	7051
268	2590	7040
269	2599	7028
270	2610	7022
271	2620	7012
272	2629	7003
273	2640	6996
274	2650	6987
275	2662	6984
276	2672	6974
277	2676	6952
278	2686	6941
279	2695	6931
280	2705	6922
281	2713	6910
282	2723	6900
283	2734	6895
284	2745	6888
285	2755	6879
286	2764	6867
287	2773	6856
288	2782	6844
289	2792	6836
290	2801	6826
291	2812	6818
292	2821	6807
293	2830	6795
294	2840	6787
295	2851	6781
296	2861	6774
297	2870	6762
298	2880	6752
299	2889	6742
300	2897	6728
301	2901	6706
302	2913	6701
303	2922	6691
304	2932	6681
305	2943	6675
306	2952	6665
307	2957	6643
308	2966	6634
309	2975	6622
310	2983	6610
311	2993	6601
312	3003	6591
313	3012	6581
314	3022	6573
315	3032	6564
316	3042	6555
317	3051	6543
318	3060	6533
319	3072	6528
320	3082	6519
321	3088	6502
322	3096	6491
323	3105	6480
324	3114	6469
325	3124	6460
326	3129	6441
327	3138	6430
328	3149	6422
329	3155	6406
330	3165	6397
331	3174	6386
332	3184	6378
333	3189	6359
334	3197	6347
335	3206	6337
336	3214	6324
337	3224	6315
338	3235	6308
339	3244	6298
340	3252	6285
341	3262	6277
342	3272	6268
343	3281	6257
344	3290	6247
345	3297	6232
346	3305	6220
347	3314	6210
348	3323	6199
349	3332	6188
350	3341	6179
351	3345	6158
352	3354	6147
353	3364	6140
354	3374	6130
355	3384	6122
356	3393	6112
357	3396	6091
358	3406	6082
359	3418	6077
360	3427	6066
361	3438	6059
362	3446	6047
363	3454	6036
364	3463	6025
365	3472	6015
366	3482	6006
367	3492	5998
368	3497	5981
369	3507	5972
370	3518	5965
371	3528	5957
372	3537	5946
373	3547	5938
374	3557	5929
375	3565	5917
376	3575	5908
377	3585	5900
378	3596	5892
379	3604	5880
380	3613	5870
381	3623	5861
382	3633	5853
383	3642	5843
384	3653	5835
385	3662	5826
386	3673	5818
387	3683	5809
388	3691	5798
389	3700	5787
390	3707	5775
391	3716	5765
392	3725	5754
393	3733	5742
394	3737	5724
395	3747	5716
396	3756	5705
397	3766	5696
398	3775	5687
399	3785	5677
400	3794	5667
401	3804	5658
402	3812	5648
403	3822	5638
404	3831	5629
405	3840	5619
406	3850	5609
407	3858	5598
408	3862	5581
409	3877	5579
410	3888	5572
411	3898	5563
412	3908	5554
413	3916	5544
414	3926	5535
415	3935	5524
416	3943	5513
417	3957	5510
418	3967	5501
419	3976	5491
420	3985	5481
421	3994	5471
422	4004	5462
423	4013	5451
424	4022	5441
425	4031	5432
426	4037	5417
427	4045	5406
428	4053	5395
429	4062	5385
430	4072	5377
431	4084	5370
432	4092	5359
433	4102	5350
434	4112	5340
435	4122	5332
436	4128	5318
437	4138	5309
438	4147	5299
439	4157	5291
440	4167	5282
441	4176	5271
442	4184	5261
443	4193	5251
444	4203	5243
445	4213	5233
446	4223	5225
447	4233	5216
448	4243	5207
449	4252	5197
450	4263	5190
451	4271	5179
452	4280	5168
453	4289	5159
454	4300	5150
455	4308	5140
456	4315	5127
457	4324	5117
458	4335	5109
459	4344	5100
460	4354	5091
461	4363	5081
462	4372	5071
463	4383	5063
464	4392	5053
465	4400	5043
466	4410	5033
467	4420	5024
468	4429	5015
469	4441	5007
470	4450	4998
471	4456	4985
472	4467	4977
473	4476	4967
474	4490	4963
475	4500	4954
476	4510	4945
477	4522	4939
478	4532	4929
479	4543	4922
480	4555	4915
481	4565	4906
482	4574	4896
483	4578	4881
484	4584	4867
485	4593	4858
486	4604	4850
487	4614	4841
488	4623	4831
489	4634	4823
490	4642	4812
491	4651	4803
492	4661	4793
493	4670	4784
494	4679	4773
495	4687	4763
496	4698	4754
497	4708	4746
498	4719	4738
499	4729	4729
500	4738	4719
501	4748	4710
502	4757	4701
503	4767	4691
504	4776	4681
505	4785	4671
506	4795	4662
507	4806	4654
508	4814	4644
509	4826	4637
510	4839	4630
511	4849	4622
512	4859	4613
513	4870	4605
514	4881	4596
515	4890	4587
516	4900	4577
517	4909	4568
518	4920	4560
519	4929	4550
520	4939	4541
521	4947	4530
522	4958	4522
523	4962	4508
524	4973	4499
525	4979	4487
526	4988	4477
527	4996	4466
528	5006	4457
529	5017	4449
530	5027	4440
531	5038	4432
532	5047	4422
533	5058	4414
534	5067	4404
535	5076	4394
536	5086	4385
537	5096	4376
538	5107	4368
539	5116	4358
540	5127	4350
541	5137	4341
542	5146	4331
543	5156	4322
544	5167	4314
545	5175	4303
546	5184	4293
547	5194	4284
548	5203	4274
549	5212	4264
550	5221	4254
551	5229	4244
552	5237	4233
553	5246	4223
554	5254	4213
555	5264	4203
556	5272	4193
557	5279	4181
558	5286	4170
559	5291	4157
560	5300	4147
561	5309	4137
562	5319	4129
563	5323	4115
564	5333	4106
565	5341	4095
566	5351	4086
567	5354	4072
568	5363	4062
569	5374	4054
570	5384	4045
571	5394	4036
572	5405	4028
573	5416	4020
574	5427	4011
575	5434	4000
576	5444	3991
577	5454	3982
578	5464	3973
579	5476	3965
580	5489	3958
581	5498	3949
